hit_id,videoLeft,videoRight,friendly,authentic,organized,comfortable,imaginative,interview
3OLZC0DJ8KF5KAIYGS6P8B7S6PPIVE,ZvxUUh2wN7s.000.mp4,hi8A0nUHnL8.003.mp4,RIGHT,RIGHT,LEFT,LEFT,LEFT,LEFT
3C8QQOM6JQ12O5642O4JL29QFRNLIY,8eeZjC_bmtc.001.mp4,N5nIQZMW_ig.003.mp4,RIGHT,RIGHT,RIGHT,LEFT,RIGHT,RIGHT
324N5FAHSYBWQ58MGVR1LRM5YTDVK1,Se3Gts4u1vs.002.mp4,UWG7Jyqc1CY.000.mp4,LEFT,DON'T KNOW,RIGHT,RIGHT,LEFT,LEFT
38RHULDV9ZFIZZI362BLUDQ6DYRIWO,n6JNJurop2U.001.mp4,DegRGUG4Wi0.005.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3EQVJH0T41LQBN3P5FOP7HIS9RUTHG,lyZZSU1ziCQ.003.mp4,GaUs3UUUtmw.001.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3ACRLU860OEEVRI6FSPYMKFTB42BES,bGLwxQ1lonQ.000.mp4,xHb5_bc1JOA.001.mp4,LEFT,RIGHT,RIGHT,LEFT,RIGHT,RIGHT
388CL5C1RKN2SAVKW6MYLQ8BFE8LH5,UrOamWOcOwQ.004.mp4,heE4ZZXwehI.000.mp4,RIGHT,RIGHT,LEFT,LEFT,RIGHT,RIGHT
3NFWQRSHVFE2SMQDQP1I5DRQ3I9GFW,a97PXgrKSxo.004.mp4,-Osv5l1vrNU.001.mp4,RIGHT,RIGHT,LEFT,RIGHT,RIGHT,LEFT
3E9ZFLPWOZSXOZNTG777WW4DM0XIXH,9cHxDnk6SUs.004.mp4,qP1UtCbMaW4.000.mp4,DON'T KNOW,DON'T KNOW,RIGHT,RIGHT,DON'T KNOW,DON'T KNOW
3JY0Q5X05K686MM81970NYR24X9GGV,yIM5bal1VVs.001.mp4,ztyBhnjtrz0.002.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3SNR5F7R93TOIZWCL2HF87J66UMEI4,Ie2y_yOeKpo.003.mp4,oC-qxnrmJws.001.mp4,DON'T KNOW,LEFT,RIGHT,LEFT,LEFT,LEFT
3L55D8AUFBXVB1R3TTXN47DRB16YC0,Rp_gyvKE4hI.000.mp4,jrhvXPaXo-0.005.mp4,RIGHT,LEFT,RIGHT,RIGHT,LEFT,LEFT
37NXA7GVSU67ABQ41V320RZKNTIVL4,kAjvzIWWrWA.001.mp4,8hW6WfYBP18.004.mp4,LEFT,LEFT,LEFT,LEFT,DON'T KNOW,LEFT
3IQ9O0AYW7ZQ7IE9BX6A7TJ7949TI9,nIwFocnmRFY.003.mp4,P63CUj9KnSw.004.mp4,RIGHT,LEFT,RIGHT,RIGHT,LEFT,RIGHT
3NCN4N1H1HHIPXVJ8RSHC792PW2NBS,8n6G3V3-Tk8.002.mp4,encC96iqr9Y.005.mp4,RIGHT,RIGHT,LEFT,RIGHT,LEFT,RIGHT
3X2YVV51PV47ZTM5YVQF2E9KWWGW1A,WuHLxhCSnGs.004.mp4,LKBoLbWHJYI.002.mp4,RIGHT,LEFT,LEFT,RIGHT,LEFT,LEFT
3TCFMTM8HFOLNDOYKB18E7TVSPL12X,1CYzbX8AaP8.000.mp4,rtEASqA8_WE.000.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3I4E7AFQ2LZM2TYFTFRAJUY7MJYTJL,54TGLGvIm_8.001.mp4,3yU-7AXnFCM.004.mp4,LEFT,LEFT,LEFT,DON'T KNOW,LEFT,LEFT
3VO4XFFP16MGQI5LB28IBZIBBHYQ7W,5ghk5950BhU.003.mp4,p7-JUvStF4w.002.mp4,RIGHT,RIGHT,LEFT,LEFT,RIGHT,LEFT
3S8APUMBJYJ615I2A394420TN5HBFA,iGlLSkRAsJc.003.mp4,qCFFW1dM8V8.004.mp4,LEFT,RIGHT,LEFT,RIGHT,LEFT,LEFT
3JMNNNO3B24EOE41HZQT7XJPO2UW2R,9UUtf0_ZR14.000.mp4,3taD1fEPfC8.001.mp4,RIGHT,LEFT,LEFT,RIGHT,LEFT,LEFT
3OREP8RUT3BCF5EXLNFMMN05OKHBG9,K9h_wA30XgM.003.mp4,f_mEEFFeh-0.004.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
3X4Q1O9UBIMD56S5WPGEMUNBWGHO7N,fUf2XzWpSVo.002.mp4,GTmHSF6vNWc.005.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,RIGHT
3W0KKJIARS9YFTC982GRTD2XNVD8KA,EknEAPhAjdA.001.mp4,vp9p1osOaLI.004.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3QX22DUVOPHRGT8P174H04E9NY8VM6,117jrwvl2Nc.004.mp4,I01_ubtktEQ.005.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
3DA79LNS5AVBHFWQQUZN3NHIQMC3TJ,Znixev2a1AI.005.mp4,lLWOcztaIBI.005.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
3XABXM4AJ25KQWA4L70OPZE6M14Q8J,KYvbRwTCtaU.004.mp4,hM96SfN5_F4.004.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3M4KL7H8KWN95E7Z7DDB4KA78UN61J,X9AEEGzWSU8.002.mp4,sHafPWyXs6k.002.mp4,RIGHT,LEFT,LEFT,LEFT,LEFT,LEFT
3S1WOPCJFHTKDAGI3K2FK8Y6J9BEJG,6LKbPUX03sY.003.mp4,KJP4SKS2vtY.001.mp4,RIGHT,RIGHT,LEFT,LEFT,LEFT,RIGHT
3QMELQS6Y6BXYJ6G57SQABSKCSHR60,RDOngWykAQU.003.mp4,7tlMys6MZ34.001.mp4,RIGHT,RIGHT,RIGHT,RIGHT,DON'T KNOW,RIGHT
366FYU4PTHPFOUM0L52RLNYJYYBEKF,WpMPrPnk1po.000.mp4,i1gouUmZumY.001.mp4,RIGHT,RIGHT,RIGHT,RIGHT,DON'T KNOW,RIGHT
3WRKFXQBOC7MO4D3L3T9FABMO6RIYN,L_gmlaz-0s4.001.mp4,LRczShwIVbM.003.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3CMV9YRYP41YJGQAK6PJX3OQS6CLJA,l-WgXcGLdZk.004.mp4,A0braVJH3Pw.004.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3ZQX1VYFTE5H5KXO6U8K0UJ670NO8A,glgfB3vFewc.000.mp4,5KHOpRCxnwQ.005.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
3AQN9REUTGG5GTXHTPSYODV9W1IYD0,geji1U2YAvg.002.mp4,Kv0kZgqZEM0.002.mp4,LEFT,DON'T KNOW,DON'T KNOW,RIGHT,LEFT,DON'T KNOW
3BPP3MA3TDKQ804I65ES0NBYNYGELI,99OBSlFjLXI.005.mp4,NFAlff6GUpA.001.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
39O0SQZVJO7G2JKLOHXIGPSG731R7Z,EeI8iXLDfc0.005.mp4,puJ_NbKzRTE.003.mp4,RIGHT,LEFT,LEFT,LEFT,RIGHT,LEFT
3BA7SXOG1KQK2XP4YMPOUPOBIN7R8M,Vy-Lr_iM5qo.005.mp4,R-vly7LKotQ.003.mp4,LEFT,DON'T KNOW,RIGHT,LEFT,LEFT,LEFT
31JUPBOORO49ZZURT2SS8DFCCVI8LD,oU7zAWm_01o.005.mp4,uwUkp63db18.003.mp4,LEFT,RIGHT,DON'T KNOW,LEFT,DON'T KNOW,LEFT
32204AGAACCM6IHJLFPI8Y33JXMGHU,2UqnC_rFcRQ.003.mp4,nfN9qJSVank.003.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
